size_sqft,bedrooms,floors,age,price_1000s
2171,2,2,59,388.87
1654,2,1,26,372.65
2545,2,2,10,538.5
1850,3,1,7,449.13
1409,4,2,6,411.35
2811,5,3,50,464.34
1847,2,2,29,380.17
1333,4,1,0,453.47
2580,3,2,32,447.42
3086,5,1,0,729.69
2267,1,1,29,424.31
2996,5,1,10,643.5
1413,2,1,42,287.76
1365,2,2,30,319.08
2381,2,1,43,378.43
2915,5,1,0,734.0
3071,3,2,7,636.85
1494,4,1,13,394.1
872,1,1,9,297.67
1868,3,1,35,335.91
1770,1,2,100,294.78
2975,1,1,33,464.93
1552,3,2,10,410.02
2568,3,1,35,430.1
1970,4,1,7,484.37
2614,3,1,38,419.93
2045,1,1,3,473.95
1050,2,1,39,268.7
2915,3,2,47,463.64
1860,4,1,41,365.02
2597,3,2,7,564.1
1989,5,1,27,428.88
2265,1,2,3,473.21
2128,3,2,7,527.73
1903,4,1,100,354.6
2592,3,1,16,516.84
1459,3,1,70,252.4
1794,3,2,12,441.29
1506,5,1,5,486.61
1701,4,1,19,371.86
3423,1,2,5,648.91
3004,2,3,2,704.28
3118,3,1,14,577.47
2081,2,1,2,502.75
2375,2,1,3,491.08
3130,4,3,51,467.54
1726,5,1,100,317.06
1975,3,2,5,482.85
2141,4,1,11,484.15
2289,3,2,64,368.4
1838,1,3,8,481.04
1259,4,3,2,440.28
2180,3,2,10,482.22
2472,5,2,19,535.65
1617,3,1,18,430.43
1818,1,1,12,410.27
2456,4,2,25,460.11
1464,4,2,12,414.21
2065,4,2,25,442.6
1979,5,1,16,467.36
1130,3,1,13,336.87
994,3,2,12,325.47
1842,2,1,11,378.75
1539,5,1,0,442.41
1523,3,3,21,389.0
2464,3,2,26,426.02
2065,3,1,4,490.91
2158,2,1,32,387.62
1547,2,2,100,274.15
500,1,1,9,220.35
3185,2,2,2,671.45
3087,5,1,38,555.35
2566,4,1,60,428.74
1611,4,1,4,471.23
2836,4,2,44,475.34
1317,2,1,87,246.48
1228,2,1,2,335.4
1448,2,2,23,359.52
1822,2,2,9,444.63
3115,3,2,23,559.58
2345,3,2,63,411.89
2629,2,2,2,561.22
2272,3,1,1,559.82
869,4,2,25,301.88
2218,3,1,14,479.49
3672,3,1,5,749.98
1818,4,1,24,395.91
2681,5,2,1,662.7
2092,1,2,49,379.43
2874,3,1,5,636.32
1388,2,1,19,355.44
1970,1,1,32,349.72
2185,3,1,23,435.6
2308,4,2,68,366.16
1439,2,1,6,397.89
2092,3,1,95,321.32
2301,2,3,65,384.71
2414,3,1,13,538.32
2841,5,1,16,569.39
2325,4,1,13,511.13
2254,4,1,14,471.59
1403,4,2,33,341.89
1611,2,1,30,312.85
2048,2,2,0,511.69
2490,2,2,5,544.69
2932,4,2,17,616.3
1584,3,1,13,399.0
1273,5,1,18,363.64
1995,4,1,28,410.35
794,3,2,100,244.12
2902,2,2,20,507.64
2736,2,1,18,518.81
1121,1,3,2,392.29
1800,1,2,32,343.28
528,3,2,0,348.58
2622,3,2,5,601.18
1652,2,2,76,290.68
1911,1,1,5,478.41
964,5,1,18,321.58
1974,2,1,9,437.22
1779,2,1,20,370.98
2809,3,1,1,619.58
2342,5,3,6,595.31
1850,2,1,26,388.94
1115,1,1,4,345.93
1931,2,2,25,418.06
1988,2,1,21,427.63
1977,2,1,6,463.75
2808,3,2,14,574.59
1664,4,1,11,459.04
635,3,3,14,262.51
1746,3,2,8,470.72
500,4,2,49,230.32
1650,5,1,7,484.83
1805,3,1,17,419.1
2576,3,2,19,526.79
2605,2,2,2,609.68
1559,2,1,34,304.58
1576,4,3,8,507.8
1695,4,2,13,433.18
1450,5,1,16,423.54
3803,3,1,10,716.23
2048,2,1,6,480.14
1192,2,2,6,384.72
2307,3,2,41,417.66
1723,2,2,21,375.84
2241,4,2,54,391.56
3044,3,1,2,649.66
2615,2,1,30,437.9
1452,2,1,15,340.86
2093,2,2,5,482.99
2439,2,2,19,475.86
1510,2,3,22,312.15
2905,4,2,22,529.09
1447,3,1,4,417.91
2918,3,1,15,518.76
1163,5,1,21,368.97
2126,1,1,28,388.68
2526,3,3,26,488.53
1154,3,2,4,406.94
2328,1,1,39,412.12
2121,1,1,44,335.8
2172,2,2,27,397.55
1518,2,3,31,316.63
1274,5,1,4,426.86
2240,2,1,17,487.68
2220,3,3,20,464.12
2751,3,2,1,664.58
2048,2,1,2,494.21
2007,1,1,47,352.95
1649,4,2,20,398.9
1568,2,2,100,251.48
1213,4,2,27,322.55
1202,3,1,30,299.06
1291,3,1,31,309.13
2805,3,1,79,417.42
1777,5,1,4,511.11
1062,3,3,15,381.04
1807,2,2,71,310.49
2730,2,1,60,413.39
1826,5,2,43,390.81
2091,5,2,17,494.82
1878,2,1,30,370.47
1338,2,1,2,396.75
1597,2,1,43,296.17
2021,4,1,16,455.87
2250,4,1,19,499.82
1817,3,1,15,429.98
2405,4,2,26,486.88
2229,3,2,34,381.34
2109,2,1,46,350.05
983,3,1,0,383.5
2145,1,1,18,398.07
2236,1,1,20,411.21
2418,1,1,20,463.24
1168,2,1,14,332.35
1223,2,1,16,337.82
1214,2,1,3,390.74
2208,4,1,64,381.5
2159,4,1,32,406.35
3094,2,2,5,640.05
2148,2,1,10,432.85
1477,5,1,1,485.62
3203,3,1,1,722.95
1689,3,1,32,321.25
1745,2,2,43,344.48
1730,2,2,25,378.0
2680,1,3,7,559.5
1532,4,1,17,378.45
2095,1,2,1,549.64
1897,5,1,3,500.06
1949,4,1,23,452.0
2365,4,2,2,625.71
2859,3,1,29,489.71
1458,3,2,4,426.27
1324,4,1,6,418.45
2097,2,1,77,318.67
2117,3,2,30,460.14
2580,3,3,31,491.64
1850,2,1,41,329.72
787,3,1,40,237.89
2619,3,1,0,610.28
703,3,2,0,314.19
1820,3,2,9,512.48
1636,1,1,55,299.69
1481,4,1,13,400.88
1525,3,1,9,418.82
853,4,1,9,381.23
1765,5,1,4,503.82
1537,2,2,14,392.21
1784,5,1,3,523.46
2989,2,1,0,645.3
2570,4,1,0,580.6
1823,1,1,33,326.88
2690,5,2,18,569.81
1413,2,1,8,382.72
2474,2,2,35,396.26
2600,5,1,52,427.23
1190,4,1,38,336.83
2484,4,1,24,457.14
2371,2,1,16,474.25
2788,3,1,33,460.2
1995,1,1,29,350.25
2290,4,1,16,480.36
1377,3,1,7,373.89
2540,3,1,100,359.28
1786,2,2,18,373.82
1395,4,2,6,413.93
1759,3,2,28,368.24
3029,3,1,31,554.43
2281,2,2,39,382.65
1815,4,1,12,442.43
1930,3,1,8,484.58
2330,2,2,100,380.9
1250,1,1,12,337.07
1740,2,1,17,361.84
1450,5,2,17,432.44
2009,3,1,7,519.33
2477,1,2,35,448.57
2903,2,2,2,606.95
2831,3,3,10,585.8
2979,3,1,26,513.52
2026,3,1,9,463.51
2116,4,1,2,538.97
2361,3,3,4,572.98
1828,3,2,34,378.6
1424,4,2,0,490.15
1729,3,1,23,387.11
2711,2,2,2,615.19
2864,2,1,9,596.88
1950,3,1,0,505.77
1764,1,2,8,477.01
2650,3,3,10,567.2
2064,3,1,8,475.4
2749,2,1,6,523.28
1366,1,1,18,332.92
3926,4,1,5,797.6
2196,3,2,3,568.53
2566,3,1,0,615.52
2454,3,1,19,480.61
2530,5,1,14,559.49
1812,3,3,6,504.35
2454,2,2,24,449.44
1994,3,2,18,434.33
1379,4,2,1,458.97
2323,3,2,95,377.16
2394,2,2,28,455.14
1435,2,1,44,307.72
2364,3,1,29,448.25
1797,4,2,6,501.73
2043,3,1,24,388.2
3010,4,1,1,706.8
2228,2,1,0,531.48
2115,2,1,17,422.81
2632,3,1,7,560.06
1208,2,2,10,364.01
2877,3,2,10,587.97
2513,1,2,18,440.78
1672,2,2,2,480.7
2475,2,2,66,369.58
1902,1,1,15,388.21
1083,1,2,3,360.76
2857,2,2,5,607.93
1601,2,2,0,482.08
2251,3,1,22,452.39
2770,3,2,40,451.75
2164,5,1,7,554.77
1005,1,2,11,315.02
1904,3,2,7,489.86
2127,4,2,98,379.47
2499,3,1,46,405.33
877,4,1,13,299.14
1563,3,2,6,450.69
2341,1,2,25,436.2
1966,4,2,2,530.44
2232,4,1,20,482.36
2483,3,2,17,466.89
2187,1,2,17,456.05
1073,3,2,1,387.25
612,2,2,4,292.22
1422,3,1,14,382.38
2662,2,2,4,613.93
1870,3,2,2,526.06
2201,4,1,18,472.42
2091,3,2,9,498.88
1039,2,3,9,366.15
2130,2,2,1,498.26
2315,5,2,19,531.16
1756,2,1,6,447.86
2774,2,2,13,571.77
2352,4,2,5,545.65
1870,4,1,16,455.8
1271,5,1,8,398.58
1741,4,2,11,480.81
1333,2,2,4,375.89
1313,5,1,4,424.74
1169,1,2,12,360.42
2060,1,2,15,411.77
2259,4,1,3,580.07
915,5,1,61,259.71
1415,5,1,72,350.92
2708,4,1,44,448.77
1635,3,2,5,433.82
2829,2,2,51,427.2
2911,5,1,23,562.75
997,2,1,28,274.88
2449,5,1,1,644.72
2992,5,1,13,609.52
2727,3,2,13,551.42
1183,1,2,16,316.64
2207,3,1,13,470.06
1790,2,2,4,480.96
2078,1,1,22,392.98
2292,2,2,0,590.37
1948,3,1,11,473.49
1209,4,1,8,380.0
1854,3,1,6,475.29
1571,3,1,0,455.12
1553,1,1,18,365.95
1452,2,1,55,258.37
1843,2,2,92,322.96
2141,3,2,7,522.04
1898,3,1,5,466.03
1809,2,3,24,386.25
2478,3,1,36,445.03
1998,4,1,38,399.44
2597,2,3,40,432.99
2686,4,2,40,457.31
1848,3,1,2,476.61
2944,2,1,19,543.34
2605,3,1,2,595.0
1971,3,2,32,374.79
2402,2,3,42,380.76
1979,3,2,10,469.69
1469,4,2,44,302.43
1667,2,2,17,412.48
1920,3,2,28,392.24
2205,3,2,53,392.5
2100,3,2,8,499.42
1313,3,2,53,362.07
1644,2,1,1,456.54
2263,3,2,0,594.75
2367,3,2,1,621.7
1607,3,1,0,466.08
2122,3,2,22,455.62
3521,5,1,53,553.41
1914,3,1,1,531.18
1613,1,1,38,263.74
3011,5,2,12,673.26
2232,4,3,44,416.68
1308,4,1,15,357.95
1668,2,1,19,386.4
2354,5,3,47,427.44
2457,3,1,34,445.68
1550,3,1,39,339.78
2258,3,1,45,373.21
1426,2,1,47,302.4
853,3,1,100,180.85
2093,4,1,25,430.89
2909,3,1,3,643.45
2732,5,2,47,494.92
1924,4,2,8,512.42
1647,4,1,37,343.47
1530,4,1,60,296.96
2937,4,2,30,526.04
1539,3,1,59,279.7
1774,3,1,1,507.04
2403,1,1,8,528.52
1772,3,1,100,317.05
2215,4,1,13,530.56
1939,3,1,4,478.3
1399,3,3,29,314.88
2109,2,1,33,368.81
1609,4,1,4,454.42
1200,3,3,83,272.63
2170,3,3,4,528.72
2684,5,2,24,527.56
865,3,2,37,268.7
1234,2,2,13,359.04
2194,4,1,8,485.84
2193,2,2,4,556.62
1958,2,2,31,394.52
2312,2,1,11,490.12
2146,2,1,12,456.1
3085,1,1,5,589.77
1427,3,2,37,329.12
2777,4,3,24,506.71
2905,2,2,44,497.53
2351,5,1,73,401.31
2816,2,1,27,448.55
2383,3,1,11,517.14
1801,5,1,3,515.42
1509,3,2,17,406.0
1732,5,3,7,532.76
2457,3,2,7,559.94
2849,3,1,7,623.62
2186,2,2,4,506.7
3025,4,2,2,650.52
2652,3,1,8,566.41
1796,3,1,3,457.3
1302,5,2,29,359.88
1770,4,1,4,494.01
955,4,1,19,306.5
2550,4,1,9,569.53
1909,5,1,14,477.19
1346,4,2,1,417.73
2024,5,2,17,516.89
1936,3,2,17,418.16
2350,5,1,21,483.49
1763,4,1,89,340.3
2489,5,1,2,618.02
2055,3,1,54,398.85
2089,2,2,22,422.86
1193,1,2,100,232.26
616,5,1,7,303.22
2485,4,2,50,414.29
2528,2,1,2,542.37
1903,3,2,5,473.54
1817,4,2,72,308.37
674,2,1,3,307.21
2575,4,1,1,604.77
1697,3,2,16,443.52
3383,4,1,3,730.87
1938,1,3,4,490.28
2334,4,1,7,520.69
1635,2,1,22,370.84
1676,3,1,27,372.49
2290,3,1,100,360.31
1895,3,2,7,487.56
2083,1,1,25,415.82
1086,2,1,26,275.06
2080,4,1,76,341.13
2193,2,2,9,474.73
1626,3,2,26,374.35
2249,3,3,13,504.87
1336,5,2,5,445.58
2089,5,2,20,462.71
1371,2,1,58,260.93
1303,3,3,39,350.2
1310,3,2,10,386.87
2744,3,2,28,524.07
1843,2,1,24,346.53
1744,1,1,12,381.67
2041,2,2,39,346.36
2599,2,2,33,445.5
1881,2,1,14,427.77
2048,5,2,37,411.95
1919,2,1,3,503.68
2325,3,1,30,428.37
1013,1,2,34,274.42
2172,1,1,6,472.25
2145,1,1,10,471.75
1855,2,2,2,462.16
2056,2,2,0,527.38
1917,3,1,0,523.12
2394,2,1,32,423.09
2797,4,1,3,610.99
2280,2,2,4,570.72
2008,4,1,7,495.83
1280,3,1,4,438.6
1979,2,1,6,504.81
2677,3,1,7,561.92
2168,3,1,4,546.18
1391,3,1,3,389.11
3004,3,2,1,670.95
2418,3,2,69,333.86
2632,4,2,1,626.68
2509,3,1,17,496.92
1613,4,1,13,417.47
2262,4,1,2,570.25
1593,3,2,2,453.91
1878,2,3,19,390.38
1367,2,1,0,388.46
2546,4,2,53,424.72
2171,4,2,8,521.1
2458,3,1,0,585.9
2032,3,1,8,421.87
3006,2,2,4,656.86
1770,3,1,29,370.1
3239,2,2,47,515.48
1369,1,2,18,334.32
2142,4,1,50,412.73
2273,4,1,7,514.36
1914,4,1,15,435.56
2305,2,3,12,519.87
1780,4,1,1,482.68
1793,1,2,15,394.14
1702,5,1,46,322.74
1540,3,1,63,293.33
1702,3,1,10,460.89
2416,2,1,20,459.44
2135,2,1,4,489.15
1738,2,1,9,403.28
1513,4,2,39,296.27
1736,4,2,14,439.19
2023,1,2,42,328.21
1124,4,2,6,396.5
2915,1,2,6,615.83
2474,4,2,1,603.5
1915,3,1,19,387.71
2636,3,1,54,419.44
2530,3,1,34,444.79
1264,2,1,11,389.33
2201,2,1,6,500.06
1029,2,1,17,327.38
2197,3,2,5,542.19
2050,4,2,24,424.21
2981,3,1,6,618.69
2237,4,2,12,513.01
1376,2,2,15,359.38
1466,2,2,1,446.5
2093,2,2,7,486.15
1080,2,1,40,238.04
892,2,2,30,248.83
2197,3,2,17,478.12
1808,3,1,100,272.33
2028,3,1,11,456.96
1284,3,2,26,307.19
2706,1,1,10,528.16
3048,2,1,4,615.99
2531,3,1,7,541.78
2222,5,2,17,509.96
1540,3,2,2,475.75
1835,4,1,26,389.3
2268,4,2,1,559.38
2262,5,1,8,539.91
2431,2,2,26,429.9
2275,4,1,19,465.81
1182,3,2,13,383.13
1510,2,3,18,378.56
2291,3,2,17,471.86
1691,4,2,43,335.96
3228,1,1,17,565.83
2123,2,2,21,429.48
2084,3,2,49,368.04
2720,4,2,31,529.97
1767,2,1,7,434.69
1733,1,2,75,266.72
1647,4,2,1,517.37
1942,4,2,36,390.81
2960,3,3,18,586.07
1941,2,2,17,427.5
2002,4,3,0,530.48
2654,2,1,18,510.37
1915,1,3,4,493.77
1688,2,2,54,285.54
1099,3,2,17,341.69
2818,3,1,28,523.19
1981,3,2,3,514.19
1596,1,1,41,279.57
787,2,2,35,267.59
2496,3,2,6,563.34
2820,5,1,10,645.15
1920,2,2,24,388.37
2684,1,2,33,446.42
1000,5,3,59,283.76
2460,2,3,30,470.78
1365,2,1,7,399.44
1519,4,1,7,412.3
2640,5,1,40,442.84
568,4,3,10,323.98
2799,3,3,29,499.13
1889,2,1,30,356.83
1606,1,2,21,374.51
2943,2,3,21,545.88
1475,4,1,43,317.77
1529,5,1,35,363.13
2528,3,3,10,551.78
2026,5,3,8,532.69
1609,3,1,41,284.46
2115,3,1,2,552.33
2083,2,1,21,395.52
1789,2,1,25,380.13
664,2,3,16,280.93
1492,4,1,16,389.99
969,1,1,40,258.77
2091,5,1,12,516.06
2566,1,2,0,617.26
2026,3,3,10,492.0
1181,3,2,31,282.46
2452,4,2,40,441.42
3047,2,2,28,521.62
558,4,3,13,319.89
1794,3,2,2,487.64
1055,3,2,20,321.49
2092,3,3,7,521.31
2771,4,1,9,574.74
2228,3,1,28,447.84
2764,2,1,28,461.74
1370,2,2,56,290.26
1986,4,1,29,425.93
2606,2,1,9,541.85
2598,3,1,0,603.84
1679,2,2,10,377.72
3121,3,1,12,629.95
1950,2,2,10,418.79
1318,3,2,7,380.61
2379,3,1,32,409.9
1670,2,1,16,372.05
1622,1,2,0,455.27
1507,3,2,2,489.99
1296,4,1,94,270.77
2464,4,1,8,541.55
1933,4,1,20,426.42
2777,4,3,25,516.27
1713,2,1,9,427.45
1919,3,2,34,400.31
794,3,1,13,284.04
1919,4,2,16,482.89
1982,5,1,74,343.78
1569,3,1,6,454.14
904,2,1,91,209.8
1849,4,1,9,487.37
1609,1,1,7,374.39
2000,3,1,60,373.3
647,3,2,12,297.3
2005,3,2,10,507.79
1932,4,2,2,539.45
500,2,1,25,215.22
1700,3,1,8,448.23
1067,4,2,19,357.71
3365,3,1,10,650.27
2080,4,1,4,482.48
1686,2,3,18,396.62
671,3,1,7,305.56
2503,3,2,28,465.28
1329,2,1,20,293.94
1353,2,1,14,327.89
1847,3,1,7,450.95
1204,3,1,2,371.84
1640,5,1,25,383.45
2318,2,2,0,583.15
2570,1,1,15,463.26
877,5,1,16,311.16
2126,3,3,0,563.59
1989,2,1,11,461.14
1444,5,2,46,370.95
2014,4,1,62,345.27
1628,5,1,35,346.05
1840,2,2,8,402.87
857,2,2,7,345.12
2166,3,1,59,309.89
2410,4,1,0,609.91
1486,3,2,40,333.48
1763,3,2,17,465.76
2717,2,1,19,497.37
2188,2,1,15,477.85
2537,2,1,0,595.27
3393,4,1,4,720.39
2279,3,1,19,453.98
1681,3,1,1,476.8
2313,1,1,4,482.87
1961,4,1,66,351.11
2186,1,1,51,349.97
1482,2,3,28,379.45
2785,4,2,49,440.7
1258,3,1,3,442.18
1636,2,1,18,387.48
1366,2,2,25,339.87
2275,2,1,6,487.41
2533,4,2,1,589.47
1739,3,1,25,381.05
1446,5,1,40,365.71
1333,2,2,3,437.48
1903,2,1,10,394.71
1733,3,2,73,324.98
2362,1,2,51,338.35
1766,2,1,31,358.57
1586,4,2,1,478.97
1945,4,1,15,467.37
500,3,2,26,232.06
1775,4,1,21,405.72
2374,4,1,10,574.87
1590,3,1,22,377.6
2693,1,2,19,464.26
2432,1,2,37,398.08
2946,4,1,15,587.29
1308,4,2,68,342.46
2101,3,2,71,353.69
1600,3,2,29,347.63
1275,2,1,10,361.98
1770,3,1,20,412.73
2421,2,2,15,517.94
2434,3,2,11,543.43
2241,4,1,45,390.73
2010,3,1,47,348.06
2635,2,2,23,481.09
2283,3,1,73,371.3
2285,3,2,14,454.62
2572,3,2,53,443.39
1192,3,1,3,373.68
1787,2,2,7,490.4
1761,4,1,17,428.6
1040,4,1,100,208.83
3276,5,1,20,619.91
2755,2,2,1,614.19
2015,3,1,17,455.91
1559,3,1,18,361.71
1882,4,2,12,461.71
2208,2,2,37,383.6
2190,4,1,54,377.69
2588,5,2,25,504.59
1965,3,2,3,505.11
1853,2,1,61,303.53
2721,4,1,30,509.55
1700,1,1,66,288.76
1463,4,3,19,397.21
2332,4,3,8,581.77
2033,2,1,2,471.7
1352,3,1,10,360.5
2896,4,2,12,623.42
1504,4,1,5,459.23
1141,5,1,11,364.62
2589,2,1,14,508.12
2029,3,1,8,439.12
1231,3,1,2,378.96
2396,4,1,100,414.36
1069,3,1,9,347.38
2633,3,3,53,453.86
2122,1,1,8,470.59
2911,4,1,0,669.67
2907,3,1,23,536.32
1219,5,1,44,338.99
2202,1,2,17,432.17
1835,2,1,2,477.81
2046,3,2,60,357.31
2856,3,3,33,503.43
2437,3,2,88,370.87
1907,2,2,0,532.47
2010,3,2,0,513.66
2504,2,2,23,491.08
1473,2,2,32,295.05
2460,2,1,22,427.35
2377,5,1,28,467.9
2553,5,1,34,487.8
1280,3,1,44,284.56
2284,5,2,8,572.74
1769,3,3,16,449.59
2493,3,1,9,525.49
1373,3,2,20,364.65
2942,1,1,1,632.73
2785,5,1,0,711.96
1360,3,1,20,374.99
1628,1,2,1,441.78
2135,1,1,29,369.52
3210,3,1,3,688.48
2085,3,1,18,438.2
1547,3,1,28,316.73
1415,3,2,76,277.05
2317,3,1,5,539.63
3051,2,2,3,647.25
2058,3,1,54,351.89
2645,3,1,67,406.0
3045,4,3,0,737.45
2343,5,1,2,591.2
1650,3,3,56,319.76
2136,2,2,0,521.7
2360,4,2,36,427.58
2061,3,1,23,438.23
1872,3,2,6,473.89
1871,2,2,52,362.2
2453,2,3,8,564.47
2975,3,2,19,558.5
1842,3,2,2,502.26
2341,2,1,22,463.8
1564,4,2,35,359.46
2507,3,1,26,450.98
2218,2,1,61,351.72
2131,3,1,9,502.57
2524,2,2,32,458.21
1979,3,2,12,455.5
2845,1,1,27,461.25
582,3,1,27,210.94
1244,3,1,14,371.75
2125,5,1,27,472.29
1932,4,1,37,399.94
1890,3,2,16,422.31
2027,4,2,91,372.09
2809,2,1,22,479.23
1713,3,2,14,426.18
1783,2,1,23,388.75
1556,5,2,31,367.8
1600,3,1,12,414.76
1683,5,1,2,487.97
3232,2,3,8,650.71
1709,4,1,37,369.65
1174,1,2,18,348.24
2492,3,1,29,487.1
1610,2,2,33,320.55
1956,3,1,76,319.42
2110,2,2,13,458.9
1659,2,2,31,324.64
1854,2,1,33,370.97
1966,4,2,5,478.47
2271,3,3,12,532.86
2532,3,1,27,452.57
2564,2,2,25,475.33
1485,2,2,37,335.69
1301,3,2,49,333.12
1609,1,1,30,294.22
1766,3,2,2,519.47
1348,2,1,7,376.75
1555,4,1,2,462.04
2460,3,1,13,526.49
1210,2,2,19,313.8
2214,3,1,5,541.57
2293,2,2,17,470.45
1506,3,1,14,378.58
556,2,2,3,297.54
2115,3,1,52,357.33
2618,2,1,75,374.99
1736,2,1,9,457.14
1867,1,1,10,430.98
2400,3,2,37,429.45
1706,1,3,63,302.2
2276,3,3,3,619.73
2282,4,2,23,422.36
1703,2,1,25,347.81
2867,3,1,46,468.71
2259,2,2,82,350.45
1927,3,1,54,351.4
1421,2,2,6,394.78
1745,5,2,0,527.5
2028,4,2,10,486.92
2609,4,2,4,601.66
2435,3,1,14,508.8
1595,1,1,18,352.92
1461,5,1,7,436.11
3144,2,3,45,489.11
2969,3,2,70,443.27
2303,3,2,8,534.11
2764,1,1,3,576.64
2712,2,1,22,513.83
1363,5,1,3,439.75
1493,3,1,11,403.5
1839,2,2,0,456.0
2054,1,1,9,430.94
2525,3,1,8,557.81
1884,3,1,27,403.75
2456,3,1,1,603.53
2672,3,2,13,529.73
1095,3,2,19,329.86
1749,4,2,21,401.99
1446,4,2,12,411.92
1224,2,1,57,220.87
2826,2,1,44,430.71
1389,4,1,2,448.73
1701,2,1,14,354.47
1704,4,1,48,375.22
1538,2,1,10,398.34
1541,2,1,34,330.42
1965,3,1,9,487.75
1991,3,1,2,510.07
1907,3,1,16,432.63
1283,5,1,48,330.89
2238,2,2,16,461.58
2722,3,1,39,432.96
3334,2,1,18,541.77
1478,5,2,13,400.04
1973,2,1,14,442.17
1961,3,1,14,476.76
2018,2,2,9,480.65
2137,3,2,25,409.71
1577,3,1,34,351.83
2283,5,1,16,511.92
1321,3,2,26,375.4
2642,4,1,19,506.86
2808,3,1,13,566.13
1959,2,1,15,438.01
2210,1,1,83,318.04
2430,3,2,0,605.69
2311,4,1,59,397.17
1995,4,2,11,477.67
947,1,2,26,270.04
1724,5,2,2,477.49
2523,5,1,28,501.74
976,3,1,21,278.4
2196,1,2,10,449.88
2510,2,1,0,564.73
2950,3,3,10,628.24
1294,5,2,51,282.27
1374,3,2,32,330.12
2014,3,1,6,530.35
2249,3,1,11,493.67
2609,3,2,16,523.14
2255,1,1,26,399.32
1531,3,1,14,381.99
2353,3,3,86,343.15
1686,2,1,18,388.28
2285,5,2,30,472.02
1267,2,3,36,289.95
2573,3,1,5,578.34
2431,3,1,5,560.52
1381,2,1,15,357.72
964,3,1,1,376.91
2933,3,1,52,460.1
2295,3,1,13,450.24
1577,2,1,6,403.32
1755,3,2,31,396.14
2413,4,2,22,486.75
2530,3,1,74,403.55
1876,5,1,36,377.54
1722,1,1,17,385.07
1243,3,3,9,392.09
2128,3,2,6,504.55
2329,3,1,36,406.82
1879,3,1,38,352.65
1779,2,1,0,476.78
2235,2,1,12,458.21
2182,3,2,17,464.15
2901,5,2,4,697.04
843,4,2,6,346.07
1072,1,2,63,212.38
2393,4,2,26,489.7
1736,3,3,100,321.18
2047,2,3,23,412.34
2272,4,1,4,579.49
2043,1,2,22,436.38
1885,4,1,15,456.31
784,5,2,32,284.42
856,2,2,99,197.24
2185,3,2,71,342.75
2378,3,2,64,444.14
594,2,2,32,228.44
2387,3,1,18,492.15
1623,3,2,34,332.23
1033,3,2,33,294.59
